nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma	feature1	feature2	feature4	mshuffle	feature3
30	6.8	0	1	4	0.8	5	1262	0	6.44E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1470588235	0	7.40E-01	1.04E+00	1.48E+00	0.1	0
31	7.8	0	1	4	0.8	7	1263	0	6.50E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1282051282	0	7.47E-01	1.04E+00	1.77E+00	0.1	0
32	8.1	0	1	6	0.2	1	1264	0	2.67E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1234567901	0	2.67E-01	3.13E+00	1.79E+00	0.1	0
33	8.3	0	1	6	0.2	3	1265	0	2.80E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1204819277	0	2.80E-01	3.12E+00	1.74E+00	0.1	0
34	9.7	0	1	6	0.2	5	1266	0	2.84E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1030927835	0	2.84E-01	3.12E+00	1.72E+00	0.1	0
35	9.4	0	1	6	0.2	7	1267	0	2.86E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1063829787	0	2.86E-01	3.12E+00	2.06E+00	0.1	0
36	8.2	0	1	6	0.4	1	1268	0	4.42E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1219512195	0	4.42E-01	1.56E+00	1.79E+00	0.1	0
37	7.8	0	1	6	0.4	3	1269	0	4.67E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1282051282	0	4.67E-01	1.56E+00	1.74E+00	0.1	0
38	8.3	0	1	6	0.4	5	1270	0	4.76E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1204819277	0	4.76E-01	1.56E+00	1.72E+00	0.1	0
39	8.8	0	1	6	0.4	7	1271	0	4.80E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1136363636	0	4.80E-01	1.56E+00	2.06E+00	0.1	0
40	6.6	0	1	6	0.6	1	1272	0	5.22E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1515151515	0	6.17E-01	1.25E+00	1.79E+00	0.1	0
41	6.7	0	1	6	0.6	3	1273	0	6.55E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1492537313	0	6.55E-01	1.04E+00	1.74E+00	0.1	0
42	7.5	0	1	6	0.6	5	1274	0	6.67E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1333333333	0	6.67E-01	1.04E+00	1.72E+00	0.1	0
43	7.7	0	1	6	0.6	7	1275	0	6.73E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1298701299	0	6.73E-01	1.04E+00	2.06E+00	0.1	0
