nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma	feature1	feature2	feature3	mshuffle
0	27	0	1	2	0.2	1	204	0	2.32E-01	1.22E+08	7.14E+07	0	4617928704	0.03703703704	0	2.32E-01	0	7.06E-01	0.8
1	25	0	1	2	0.2	3	205	0	1.41E-01	1.22E+08	7.14E+07	0	4617928704	0.04	0	2.45E-01	0	1.40E+00	0.8
2	25	0	1	2	0.2	5	206	0	2.61E-02	1.22E+08	7.14E+07	0	4617928704	0.04	0	2.49E-01	0	2.09E+00	0.8
3	25	0	1	2	0.2	7	207	0	-3.15E-02	1.22E+08	7.14E+07	0	4617928704	0.04	0	2.51E-01	0	2.78E+00	0.8
4	27	0	1	2	0.4	1	208	0	3.12E-01	1.22E+08	7.14E+07	0	4617928704	0.03703703704	0	4.07E-01	0	1.31E+00	0.8
5	27	0	1	2	0.4	3	209	0	-4.61E-02	1.22E+08	7.14E+07	0	4617928704	0.03703703704	0	4.32E-01	0	2.60E+00	0.8
6	28	0	1	2	0.4	5	210	0	-1.66E-01	1.22E+08	7.14E+07	0	4617928704	0.03571428571	0	4.41E-01	0	3.89E+00	0.8
7	30	0	1	2	0.4	7	211	0	-2.25E-01	1.22E+08	7.14E+07	0	4617928704	0.03333333333	0	4.45E-01	0	5.18E+00	0.8
8	52	0	1	2	0.6	1	212	0	1.37E-01	1.22E+08	7.14E+07	0	4617928704	0.01923076923	0	5.82E-01	0	1.91E+00	0.8
9	28	0	1	2	0.6	3	213	0	-2.34E-01	1.22E+08	7.14E+07	0	4617928704	0.03571428571	0	6.20E-01	0	3.80E+00	0.8
10	29	0	1	2	0.6	5	214	0	-3.57E-01	1.22E+08	7.14E+07	0	4617928704	0.03448275862	0	6.32E-01	0	5.69E+00	0.8
11	33	0	1	2	0.6	7	215	0	-4.19E-01	1.22E+08	7.14E+07	0	4617928704	0.0303030303	0	6.39E-01	0	7.58E+00	0.8
12	80	0	1	2	0.8	1	216	0	-3.78E-02	1.22E+08	7.14E+07	0	4617928704	0.0125	0	7.57E-01	0	2.51E+00	0.8
13	30	0	1	2	0.8	3	217	0	-4.21E-01	1.22E+08	7.14E+07	0	4617928704	0.03333333333	0	8.07E-01	0	5.00E+00	0.8
14	31	0	1	2	0.8	5	218	0	-5.49E-01	1.22E+08	7.14E+07	0	4617928704	0.03225806452	0	8.24E-01	0	7.49E+00	0.8
15	33	0	1	2	0.8	7	219	0	-6.13E-01	1.22E+08	7.14E+07	0	4617928704	0.0303030303	0	8.32E-01	0	9.98E+00	0.8
16	17	0	1	4	0.2	1	220	0	2.63E-01	1.22E+08	7.14E+07	0	4617928704	0.05882352941	0	2.63E-01	0	8.12E-01	0.8
17	19	0	1	4	0.2	3	221	0	1.10E-01	1.22E+08	7.14E+07	0	4617928704	0.05263157895	0	2.76E-01	0	1.60E+00	0.8
