nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma
46	30	0	1	6	0.8	5	250	0	-4.25E-01	1.22E+08	7.14E+07	0.8	4617928704	0.03333333333	0
47	29	0	1	6	0.8	7	251	0	-4.89E-01	1.22E+08	7.14E+07	0.8	4617928704	0.03448275862	0
48	13	0	1	8	0.2	1	252	0	3.25E-01	1.22E+08	7.14E+07	0.8	4617928704	0.07692307692	0
49	16	0	1	8	0.2	3	253	0	2.96E-01	1.22E+08	7.14E+07	0.8	4617928704	0.0625	0
50	18	0	1	8	0.2	5	254	0	1.81E-01	1.22E+08	7.14E+07	0.8	4617928704	0.05555555556	0
51	18	0	1	8	0.2	7	255	0	1.23E-01	1.22E+08	7.14E+07	0.8	4617928704	0.05555555556	0
52	18	0	1	8	0.4	1	256	0	4.67E-01	1.22E+08	7.14E+07	0.8	4617928704	0.05555555556	0
53	20	0	1	8	0.4	3	257	0	1.08E-01	1.22E+08	7.14E+07	0.8	4617928704	0.05	0
54	19	0	1	8	0.4	5	258	0	-1.10E-02	1.22E+08	7.14E+07	0.8	4617928704	0.05263157895	0
55	21	0	1	8	0.4	7	259	0	-7.07E-02	1.22E+08	7.14E+07	0.8	4617928704	0.04761904762	0
56	22	0	1	8	0.6	1	260	0	2.92E-01	1.22E+08	7.14E+07	0.8	4617928704	0.04545454545	0
57	21	0	1	8	0.6	3	261	0	-7.90E-02	1.22E+08	7.14E+07	0.8	4617928704	0.04761904762	0
58	23	0	1	8	0.6	5	262	0	-2.03E-01	1.22E+08	7.14E+07	0.8	4617928704	0.04347826087	0
59	23	0	1	8	0.6	7	263	0	-2.64E-01	1.22E+08	7.14E+07	0.8	4617928704	0.04347826087	0
60	80	0	1	8	0.8	1	264	0	1.17E-01	1.22E+08	7.14E+07	0.8	4617928704	0.0125	0
61	31	0	1	8	0.8	3	265	0	-2.67E-01	1.22E+08	7.14E+07	0.8	4617928704	0.03225806452	0
62	27	0	1	8	0.8	5	266	0	-3.94E-01	1.22E+08	7.14E+07	0.8	4617928704	0.03703703704	0
63	31	0	1	8	0.8	7	267	0	-4.58E-01	1.22E+08	7.14E+07	0.8	4617928704	0.03225806452	0
64	20	0	2	1	0.2	1	268	0	2.59E-01	1.22E+08	7.14E+07	0.8	2308964352	0.05	0
65	20	0	2	1	0.2	3	269	0	2.30E-01	1.22E+08	7.14E+07	0.8	2308964352	0.05	0
66	21	0	2	1	0.2	5	270	0	1.14E-01	1.22E+08	7.14E+07	0.8	2308964352	0.04761904762	0
67	21	0	2	1	0.2	7	271	0	5.68E-02	1.22E+08	7.14E+07	0.8	2308964352	0.04761904762	0
68	21	0	2	1	0.4	1	272	0	4.01E-01	1.22E+08	7.14E+07	0.8	2308964352	0.04761904762	0
69	22	0	2	1	0.4	3	273	0	4.22E-02	1.22E+08	7.14E+07	0.8	2308964352	0.04545454545	0
70	23	0	2	1	0.4	5	274	0	-7.73E-02	1.22E+08	7.14E+07	0.8	2308964352	0.04347826087	0
71	24	0	2	1	0.4	7	275	0	-1.37E-01	1.22E+08	7.14E+07	0.8	2308964352	0.04166666667	0
72	41	0	2	1	0.6	1	276	0	2.26E-01	1.22E+08	7.14E+07	0.8	2308964352	0.0243902439	0
73	21	0	2	1	0.6	3	277	0	-1.45E-01	1.22E+08	7.14E+07	0.8	2308964352	0.04761904762	0
74	24	0	2	1	0.6	5	278	0	-2.69E-01	1.22E+08	7.14E+07	0.8	2308964352	0.04166666667	0
75	24	0	2	1	0.6	7	279	0	-3.31E-01	1.22E+08	7.14E+07	0.8	2308964352	0.04166666667	0
