nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma
44	1.7	0	1	6	0.8	1	669	0	-3.95E-02	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
45	1.7	0	1	6	0.8	3	670	0	-4.23E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
46	1.8	0	1	6	0.8	5	671	0	-5.51E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
47	1.8	0	1	6	0.8	7	672	0	-6.14E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
48	1.8	0	1	8	0.2	1	673	0	2.38E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
49	2	0	1	8	0.2	3	674	0	1.30E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5	0
50	1.8	0	1	8	0.2	5	675	0	1.46E-02	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
51	1.8	0	1	8	0.2	7	676	0	-4.31E-02	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
52	1.8	0	1	8	0.4	1	677	0	3.01E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
53	2	0	1	8	0.4	3	678	0	-5.76E-02	1.08E+08	2.27E+07	0.8	4617928704	0.5	0
54	1.8	0	1	8	0.4	5	679	0	-1.77E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
55	1.8	0	1	8	0.4	7	680	0	-2.37E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
56	1.7	0	1	8	0.6	1	681	0	1.26E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
57	2	0	1	8	0.6	3	682	0	-2.45E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5	0
58	2.1	0	1	8	0.6	5	683	0	-3.69E-01	1.08E+08	2.27E+07	0.8	4617928704	0.4761904762	0
59	1.8	0	1	8	0.6	7	684	0	-4.31E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
60	1.8	0	1	8	0.8	1	685	0	-4.93E-02	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
61	1.8	0	1	8	0.8	3	686	0	-4.33E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
62	1.7	0	1	8	0.8	5	687	0	-5.60E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
63	1.8	0	1	8	0.8	7	688	0	-6.24E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
64	1.9	0	2	1	0.2	1	689	0	2.31E-01	1.08E+08	2.27E+07	0.8	2308964352	0.5263157895	0
65	2	0	2	1	0.2	3	690	0	1.83E-01	1.08E+08	2.27E+07	0.8	2308964352	0.5	0
66	1.9	0	2	1	0.2	5	691	0	6.73E-02	1.08E+08	2.27E+07	0.8	2308964352	0.5263157895	0
67	2	0	2	1	0.2	7	692	0	9.70E-03	1.08E+08	2.27E+07	0.8	2308964352	0.5	0
68	2.3	0	2	1	0.4	1	693	0	3.53E-01	1.08E+08	2.27E+07	0.8	2308964352	0.4347826087	0
69	1.9	0	2	1	0.4	3	694	0	-4.88E-03	1.08E+08	2.27E+07	0.8	2308964352	0.5263157895	0
70	2	0	2	1	0.4	5	695	0	-1.24E-01	1.08E+08	2.27E+07	0.8	2308964352	0.5	0
71	2.1	0	2	1	0.4	7	696	0	-1.84E-01	1.08E+08	2.27E+07	0.8	2308964352	0.4761904762	0
